"","Row.names","TCGA-AO-A126","TCGA-A2-A0CZ","TCGA-AC-A23G","TCGA-AN-A0XL","TCGA-EW-A3E8","TCGA-B6-A402","TCGA-EW-A1PF","TCGA-AC-A2QI","TCGA-E2-A10F","TCGA-A8-A06N","TCGA-A7-A5ZV","TCGA-LL-A441","TCGA-A7-A3J0","TCGA-AC-A2FM","TCGA-AO-A0JL","TCGA-D8-A1XD","TCGA-E2-A15F","TCGA-E2-A14U","TCGA-B6-A0IQ","TCGA-E2-A108","TCGA-A2-A4RY","TCGA-A8-A07C","TCGA-A2-A0CY","TCGA-A8-A08I","TCGA-E9-A54X","y"
"1072","ENSG00000069345",4493,2968,1575,3414,3587,3391,6224,3432,3215,6571,2454,5440,6129,4002,3314,4979,5305,6409,4552,4462,2310,5807,4762,11718,4427,"DNAJA2"
"1073","ENSG00000069399",7039,2514,3119,5306,7626,1504,3474,5566,3634,2815,1612,3548,4347,1982,1579,3636,6901,3181,1422,6436,3364,1317,5386,7098,3075,"BCL3"
"1074","ENSG00000069424",942,1133,855,823,2356,566,1323,1367,2070,1230,1236,4402,1796,1119,441,536,437,834,1156,3040,1116,1855,815,4751,455,"KCNAB2"
"1075","ENSG00000069431",652,716,862,2498,717,257,1035,599,1133,260,60,542,388,370,737,458,331,134,882,1614,634,1533,63,326,41,"ABCC9"
"1076","ENSG00000069482",12,57,25,5,48,749,49,24,20,22,760,393,117,4,365,27,32,242,45,104,42,24,395,1,7,"GAL"
"1077","ENSG00000069493",1540,460,181,565,2147,329,735,457,692,1462,191,5559,561,955,268,489,492,1056,933,1526,928,1211,909,2226,418,"CLEC2D"
"1078","ENSG00000069509",1236,978,335,1115,1550,595,1103,989,1078,1936,358,1025,970,1354,707,860,1864,1364,1591,832,538,775,749,1659,989,"FUNDC1"
"1079","ENSG00000069535",1745,3065,2393,3090,10828,28,1771,1646,2973,550,1472,5778,2046,384,1130,1501,5729,7628,5502,9320,5594,140,352,3434,75,"MAOB"
"1080","ENSG00000069667",1031,1087,710,1437,1746,1118,1737,1503,1251,2195,679,1231,1161,1031,194,1944,1407,1218,423,1090,1183,1128,294,4056,1152,"RORA"
"1081","ENSG00000069696",164,41,133,10,180,65,41,103,126,37,26,161,45,39,37,42,89,48,114,58,80,29,282,30,23,"DRD4"
"1082","ENSG00000069702",961,4232,1315,7863,6068,534,1490,1427,4464,875,540,2101,11342,902,1519,332,686,4886,178,4276,8574,2498,251,39165,5348,"TGFBR3"
"1083","ENSG00000069764",17,9,3,28,27,6,12,3,12,62,2,10,10,47,14,8,65,18,11,10,5,25,184,84,7,"PLA2G10"
"1084","ENSG00000069812",30,162,133,4477,147,528,391,1021,2813,7,25,20,443,185,26,4222,608,219,307,77,178,19,1580,280,60,"HES2"
"1085","ENSG00000069849",4918,4319,2424,2891,3884,7797,5161,2521,3436,7993,6176,4320,3523,4667,3360,3625,7672,2208,11276,5758,1765,15010,3707,10939,2035,"ATP1B3"
"1086","ENSG00000069869",769,1193,730,1605,1144,665,2656,1954,2040,2073,515,761,839,1339,322,1764,1270,1191,311,1201,986,1524,125,1556,866,"NEDD4"
"1087","ENSG00000069943",477,480,260,687,1002,583,692,982,798,1141,488,746,1102,725,249,356,549,928,259,515,598,1017,224,1087,663,"PIGB"
"1088","ENSG00000069956",1885,1740,1304,2462,1881,4708,3797,4461,3144,3735,838,2008,3625,1950,1835,2943,2563,2716,1522,2106,1417,6946,1337,4108,3208,"MAPK6"
"1089","ENSG00000069966",910,1553,1015,1495,1357,531,1726,1401,1783,2811,513,2056,4010,832,434,1454,2190,2403,493,1020,1506,1096,308,2029,2302,"GNB5"
"1090","ENSG00000069974",1221,1323,906,1521,1837,966,2051,2645,1721,1576,1488,2030,2407,562,597,797,1281,1744,635,2359,1042,3085,472,3495,1441,"RAB27A"
"1091","ENSG00000069998",1583,1362,633,1486,2990,3639,1007,2387,1096,3519,893,4890,3463,1866,1223,829,1251,2802,3269,1550,1490,3709,3260,3164,1145,"HDHD5"
"1092","ENSG00000070010",4342,1821,1130,2531,3714,4434,2635,3378,1696,5060,1989,4949,3152,2152,3089,1067,1623,2978,3295,2413,1544,6633,2884,3988,1029,"UFD1"
"1093","ENSG00000070018",2305,2208,1470,3406,3437,5198,2824,2306,3158,14189,4257,7735,3354,986,1565,4327,2096,2881,5835,2365,2692,40948,1008,6352,1499,"LRP6"
"1094","ENSG00000070019",67,24,32,184,48,78,146,87,46,459,56,120,44,26,29,19,229,105,121,46,58,47,7,170,0,"GUCY2C"
"1095","ENSG00000070031",78,32,113,3,133,24,22,48,86,24,8,92,17,13,30,48,11,2,14,44,10,12,19,21,1,"SCT"
"1096","ENSG00000070047",3615,2365,1828,4602,5592,2417,3280,5556,3381,9198,1532,4489,8462,8783,1253,4476,4213,5647,4734,2006,3577,2925,1318,3491,2776,"PHRF1"
"1097","ENSG00000070061",2030,2367,1132,3866,2835,1577,3572,3053,3723,5254,1618,2866,7244,4421,1029,2033,2496,3426,6716,2119,2449,7923,1161,5371,2035,"ELP1"
