"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-4462",-43.865812724956,323.261255742031,-8.72455453482809,6.96973427351443e-18,1.4122512073404e-16,26.8062731627299
"hsa-miR-4463",2.82213604476175,262.529057176831,0.484958248505487,0.627776763975324,1,-10.2253106837454
"hsa-miR-4464",0,0,0,1,1,-10.3429708982513
"hsa-miR-4465",-47.5814925321417,1789.25112578655,-1.22878278205174,0.219345968640815,0.542549954492572,-9.58790170642804
"hsa-miR-4466",-122.124456040758,1597.97121171525,-3.20058950471613,0.00140017962513183,0.00606643699355172,-5.23514122717958
"hsa-miR-4467",0,0,0,1,1,-10.3429708982513
"hsa-miR-4468",-0.337160168125887,16.8938390165786,-1.41257150725416,0.15798915958012,0.41755764705892,-9.34530023431064
"hsa-miR-4469",-0.398963087103918,0.913445022500666,-4.75755640096081,2.14809182083571e-06,1.37670038102122e-05,0.897049409113073
"hsa-miR-4470",-5.16203266227514,35.8202528272723,-10.4987378950667,6.25138103094896e-25,1.87168214150502e-23,42.8731130504601
"hsa-miR-4471",0,0,0,1,1,-10.3429708982513
"hsa-miR-4472",-0.162940459905436,6.66368998912716,-0.657340015393842,0.511063145092728,0.94054373307891,-10.126812267999
"hsa-miR-4473",0,0,0,1,1,-10.3429708982513
"hsa-miR-4474-3p",0.0164645426917198,0.0215302431571238,1.7109064964512,0.087305098539844,0.257171846800187,-8.8798366547613
"hsa-miR-4474-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4475",-1.16523878456116,7.08613080425233,-5.21668353292675,2.07609445198279e-07,1.53676954637545e-06,3.15083263510344
"hsa-miR-4476",-3.59208427568043,65.1386585004261,-2.23630522760165,0.0254782914534499,0.0870290990967693,-7.84496037762965
"hsa-miR-4477a",0,0,0,1,1,-10.3429708982513
"hsa-miR-4477b",0,0,0,1,1,-10.3429708982513
"hsa-miR-4478",-37.8963852815608,298.358130918615,-8.04740138350272,1.70368943694976e-15,2.82446364505886e-14,21.37876577397
"hsa-miR-4479",-0.126417269064073,1.12609060560786,-1.29689145912094,0.194867956093039,0.496072487211466,-9.50192654466168
"hsa-miR-448",-0.00233422421109399,0.00100859621371505,-1.14664943276721,0.251709382193576,0.575949461962755,-9.68542502755098
"hsa-miR-4480",-0.00275806742440078,0.00331413792010652,-0.711575347655314,0.476838403720213,0.895073560641644,-10.0896777265592
"hsa-miR-4481",-3.11502363922006,73.7978104928429,-2.18857651030313,0.0287813582523346,0.0971976509329682,-7.95028296926511
"hsa-miR-4482-3p",1.18380216673023,11.8459128609993,5.36620828331288,9.3031869868303e-08,7.17776657522369e-07,3.92804571208442
"hsa-miR-4482-5p",-0.000349642913778434,0.00108419133888149,-0.225886826838914,0.821320212298115,1,-10.3174421572078
"hsa-miR-4483",0.00562884015474795,0.00319667153928096,1.22671364258625,0.220122722563472,0.543131834517005,-9.59044120457128
"hsa-miR-4484",-5.01400460543524,62.5061115808189,-4.39991913321838,1.15936161285798e-05,6.82017418003843e-05,-0.718936252764623
"hsa-miR-4485",-226.612167228247,1189.93832530142,-9.22408571786724,9.40099026636759e-20,2.19283563655039e-18,31.0634585892418
"hsa-miR-4486",-2.84462231827993,167.699373355759,-0.870768840767564,0.384019693397989,0.754499025422494,-9.96369870163678
"hsa-miR-4487",-11.9411522391296,103.596403813648,-7.54654343805897,7.71339833766694e-14,1.12123746850434e-12,17.623354895393
"hsa-miR-4488",-3.03752436545517,98.1794566975499,-1.14573979766321,0.252085557130259,0.575949461962755,-9.68646741792975
"hsa-miR-4489",-0.59645081390372,11.8887035848569,-1.68935239522475,0.0913597009634553,0.267935029433759,-8.91643495388481
"hsa-miR-4490",0,0,0,1,1,-10.3429708982513
"hsa-miR-4491",0,0,0,1,1,-10.3429708982513
"hsa-miR-4492",-0.0873112128250262,0.285131073946738,-1.48922468454376,0.136638393439569,0.367914922469497,-9.23416733536727
"hsa-miR-4493",0,0,0,1,1,-10.3429708982513
"hsa-miR-4494",0.487800150104945,9.09777021749334,2.41710865913388,0.0157629607884769,0.0563645264557657,-7.42552347310465
"hsa-miR-4495",0,0,0,1,1,-10.3429708982513
