"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MIMAT0027418",-0.497654929577442,4.32924050632911,-1.16852724947208,0.245875286081995,0.753298490311926,-5.83532340726457
"MIMAT0027419",-0.167089788732374,4.87245569620253,-0.472791548668751,0.637578982795935,0.95768812318254,-6.39501115042313
"MIMAT0027420",1.24329929577467,6.13164556962025,3.35562470884041,0.00118733704839533,0.0386645654221044,-1.281874272963
"MIMAT0027421",0.243301056338046,4.19903797468354,0.603432365870482,0.547835026888014,0.916063836929267,-6.32568569870478
"MIMAT0027422",-0.0165475352112558,3.37225316455696,-0.0415673750968404,0.966941492633273,0.99067718376412,-6.50461573697486
"MIMAT0027423",-0.0130845070422376,4.30824050632911,-0.0411473325426428,0.967275360525598,0.99067718376412,-6.50463292857967
"MIMAT0027424",0.621913732394394,8.39881012658228,3.25737912434911,0.00161909283248854,0.046207817915965,-1.56576989819826
"MIMAT0027425",-0.611862676056321,3.80984810126582,-1.60759940018936,0.111647609354344,0.5232194239115,-5.2462198790092
"MIMAT0027426",-0.0939929577464484,7.6590253164557,-0.381604584764352,0.703711126003072,0.961614522730469,-6.43347692706231
"MIMAT0027427",0.762931338028195,5.87279746835443,2.26771167158432,0.0258942559244059,0.236587805928026,-4.0367816951249
"MIMAT0027428",0.200522887323956,3.5673417721519,0.536527410281557,0.593001698052985,0.942576290337732,-6.36327730203244
"MIMAT0027429",-0.215174295774633,3.36024050632911,-0.6027491248862,0.548287391480053,0.916217088394299,-6.32609170478653
"MIMAT0027430",0.0757183098591945,10.4710506329114,0.469089155474253,0.640212124473654,0.957814715579773,-6.3967320922859
"MIMAT0027431",1.149698943662,8.48889873417722,3.84189308101908,0.000235230912022152,0.0123366180450768,0.21433043121714
"MIMAT0027432",0.155084507042286,7.03537974683544,0.516306574469353,0.606986768237174,0.943280742523281,-6.3737765192441
"MIMAT0027433",0.782117957746501,6.34329113924051,2.89721348070215,0.00479166030066339,0.092203160330947,-2.54953289893031
"MIMAT0027434",0.349632042253534,3.97610126582279,0.826993270429097,0.410566574298365,0.875504359258109,-6.16844271963378
"MIMAT0027435",-0.109786971830972,3.28845569620253,-0.287961255417186,0.774080422391473,0.961614522730469,-6.46445972627087
"MIMAT0027436",0.701227112676088,9.6913417721519,3.99500325178367,0.000137493581071518,0.00812171385864316,0.714879113331676
"MIMAT0027437",-0.144139084507028,3.25758227848101,-0.380771614008036,0.70432685416345,0.961614522730469,-6.43379060724746
"MIMAT0027438",-0.781132042253488,7.77959493670886,-2.63886822501724,0.00990013695688784,0.130271624361997,-3.19709306605287
"MIMAT0027439",0.150889084507066,5.15373417721519,0.449360533642567,0.654320313059431,0.961614522730469,-6.40567536337021
"MIMAT0027440",-0.151603873239425,3.25087341772152,-0.403616130167349,0.687513034303472,0.961614522730469,-6.42494035751403
"MIMAT0027441",-0.996278169014063,3.91086075949367,-2.96124362812404,0.00397533211133411,0.0795066422266822,-2.38137818176609
"MIMAT0027442",-0.181514084507008,8.8453670886076,-1.11092198348795,0.269748215633349,0.773611841996687,-5.89929334709069
"MIMAT0027443",0.227866197183111,3.72029113924051,0.589922870412947,0.556814174191943,0.924384315325187,-6.33362888573468
"MIMAT0027444",0.247077464788751,4.71155696202532,0.605284317035516,0.546609820225957,0.916063836929267,-6.32458291073499
"MIMAT0027445",-0.875808098591533,3.51250632911392,-2.26801547778353,0.0258749259538123,0.236587805928026,-4.03613975794845
"MIMAT0027446",-0.544103873239422,3.29062025316456,-1.38933292140607,0.168376225896869,0.632656233399478,-5.56130627159483
"MIMAT0027447",0.0384876760563513,3.59121518987342,0.10356320816939,0.917761011023718,0.970911925838992,-6.50016391131065
"MIMAT0027448",0.525894366197207,7.02813924050633,2.37787569644014,0.0196654476216417,0.199399210623826,-3.79905983638785
"MIMAT0027449",-0.130596830985902,3.51425316455696,-0.331678122831475,0.74095230170027,0.961614522730469,-6.45107122981759
"MIMAT0027450",0.16099647887328,9.39744303797468,1.07017396430626,0.287583722663513,0.791354680601441,-5.94264784906323
"MIMAT0027451",-0.0573591549295625,3.71894936708861,-0.163470219667634,0.870537965301907,0.965506027927223,-6.49224994009605
"MIMAT0027452",0.22722359154932,4.90508860759494,0.679927372003774,0.498406154603005,0.908062148425051,-6.27734987731865
"MIMAT0027453",-0.36261619718308,4.20035443037975,-1.00243546281914,0.318990944183895,0.805085488561405,-6.01122815774617
"MIMAT0027454",0.539322183098618,7.42258227848101,1.84386093690001,0.0687030466190593,0.406773283012612,-4.85679578582189
"MIMAT0027455",0.692397887323965,5.62353164556962,2.32385444022323,0.0225308367392915,0.216773959537123,-3.91686772327274
"MIMAT0027456",0.200596830985946,7.7836582278481,0.568963059065621,0.570888113295295,0.928717808711141,-6.34559958489947
"MIMAT0027457",-0.339102112676039,3.59198734177215,-0.999976009143347,0.320172751637249,0.805085488561405,-6.0136359264802
"MIMAT0027458",0.0402922535211587,7.56996202531646,0.218363349037848,0.827671719709035,0.96400621085477,-6.48188309987966
"MIMAT0027459",-0.447123239436597,4.15740506329114,-1.30117672430209,0.1967293395546,0.682640058017326,-5.67615723227537
"MIMAT0027460",0.0255299295774831,4.07456962025316,0.0640584612601765,0.949074743137743,0.984436954231146,-6.5034402585572
"MIMAT0027461",-0.105505281690129,3.29230379746835,-0.286696536460379,0.775045408278,0.961614522730469,-6.46481899543765
